from,to,type
Q92464290,Q97749941,spouse
Q102434206,Q102434217,spouse
Q102434015,Q102434144,spouse
Q106630002,Q106630003,spouse
Q106630013,Q106630015,spouse
Q106630007,Q106630009,spouse
Q106630017,Q106630018,spouse
Q106630021,Q106630022,spouse
Q106630032,Q106630036,spouse
Q106630024,Q106630025,spouse
Q106630027,Q106630028,spouse
Q106630037,Q106630038,spouse
Q106630039,Q106630040,spouse
Q106630046,Q106630047,spouse
Q106630048,Q106630050,spouse
Q106630051,Q106630052,spouse
Q454928,Q684014,spouse
Q96201178,Q96201192,spouse
Q96201199,Q96201224,spouse
Q96201179,Q96201191,spouse
Q107273446,Q107273451,spouse
Q96201200,Q96201215,spouse
Q106634326,Q106634327,spouse
Q96201180,Q96201190,spouse
Q107273447,Q107273448,spouse
Q107273453,Q107273455,spouse
Q96201202,Q96201203,spouse
Q96201216,Q96201223,spouse
Q106634328,Q106634329,spouse
Q106634331,Q106634332,spouse
Q96201182,Q96201189,spouse
Q107273461,Q107273462,spouse
Q96201204,Q96201210,spouse
Q96201217,Q96201218,spouse
Q106634341,Q106634342,spouse
Q107273510,Q107273516,spouse
Q96201183,Q96201187,spouse
Q107273463,Q107273464,spouse
Q96201206,Q96201209,spouse
Q96201211,Q96201214,spouse
Q96201219,Q96201222,spouse
Q106634343,Q106634344,spouse
Q106634345,Q106634346,spouse
Q96201184,Q96201186,spouse
Q107273475,Q107273491,spouse
Q96201207,Q96201208,spouse
Q96201212,Q96201213,spouse
Q114797983,Q99902304,spouse
Q96201220,Q96201221,spouse
Q105881952,Q105881956,spouse
Q97094807,Q97094808,spouse
Q96201228,Q96201243,spouse
Q99769231,Q99769246,spouse
Q122261816,Q122261817,spouse
Q105881953,Q105881954,spouse
Q100447686,Q105881957,spouse
Q97094809,Q97094812,spouse
Q96201229,Q96201242,spouse
Q96305878,Q96305879,spouse
Q75764610,Q75764611,spouse
Q75764953,Q75764954,spouse
Q76331527,Q96209936,spouse
Q96216895,Q96216898,spouse
Q97094810,Q97094811,spouse
Q96201230,Q96201241,spouse
Q16851845,Q75765858,spouse
Q115287292,Q16854175,spouse
Q76197503,Q76197507,spouse
Q99769198,Q99769237,spouse
Q75765879,Q75765881,spouse
Q96209934,Q96209935,spouse
Q96216896,Q96216897,spouse
Q96216899,Q96216900,spouse
Q96199474,Q96199475,spouse
Q90162863,Q90163404,spouse
Q108102594,Q108102597,spouse
Q15917318,Q75765853,spouse
Q75765875,Q75765878,spouse
Q98051103,Q98051106,spouse
Q98051110,Q98051113,spouse
Q96199478,Q96199481,spouse
Q90162822,Q96201236,spouse
Q124913374,Q5362782,spouse
Q75765850,Q75765852,spouse
Q96217464,Q96217465,spouse
Q99690358,Q99690362,spouse
Q99690367,Q99690368,spouse
Q96199479,Q96199480,spouse
Q90178033,Q96201232,spouse
Q96201237,Q96201240,spouse
Q88218120,Q88218243,spouse
Q96237447,Q96237449,spouse
Q96217483,Q96217486,spouse
Q75765733,Q75765734,spouse
Q96215947,Q96215948,spouse
Q75674455,Q96201233,spouse
Q90177947,Q96201235,spouse
Q96201238,Q96201239,spouse
Q56006558,Q76021504,spouse
Q97657948,Q97657949,spouse
Q96217484,Q96217485,spouse
Q96216120,Q96216121,spouse
Q96213065,Q96213066,spouse
Q75674149,Q96213070,spouse
Q96213071,Q96213073,spouse
Q75443653,Q96213075,spouse
Q96213076,Q96213078,spouse
Q96572775,Q96572776,spouse
Q96572777,Q96572778,spouse
Q96346399,Q96346400,spouse
Q96318366,Q96318375,spouse
Q96318381,Q96318389,spouse
Q98053394,Q98053399,spouse
Q96318401,Q96318415,spouse
Q90177625,Q96318428,spouse
Q96318443,Q96318458,spouse
Q98961345,Q98961348,spouse
Q98961349,Q98961353,spouse
Q96318367,Q96318373,spouse
Q96318382,Q96318387,spouse
Q96318390,Q96318396,spouse
Q122260348,Q122260349,spouse
Q61911767,Q61911768,spouse
Q96318406,Q96318410,spouse
Q76336657,Q76337455,spouse
Q75655386,Q96318432,spouse
Q75241243,Q75241245,spouse
Q96318444,Q96318450,spouse
Q96318460,Q96318463,spouse
Q96318391,Q96318392,spouse
Q96318398,Q96318399,spouse
Q105794655,Q105794667,spouse
Q75933748,Q75933749,spouse
Q75241212,Q8011017,spouse
Q96318418,Q96318421,spouse
Q76337456,Q96318426,spouse
Q75241246,Q75241248,spouse
Q75241251,Q75241252,spouse
Q96318446,Q96318449,spouse
Q76327639,Q96318456,spouse
Q105793092,Q105793095,spouse
Q105793099,Q105793104,spouse
Q105793107,Q105793110,spouse
Q105794658,Q105794662,spouse
Q75933750,Q75933752,spouse
Q7025528,Q99201233,spouse
Q17479484,Q61278555,spouse
Q105794613,Q105794618,spouse
Q98967517,Q98967523,spouse
Q105818325,Q105818326,spouse
Q105818328,Q75241249,spouse
Q105818329,Q99082377,spouse
Q18535774,Q7349061,spouse
Q105767146,Q105767152,spouse
Q105767157,Q105767160,spouse
Q115714596,Q115714609,spouse
Q115714610,Q115714616,spouse
Q75933754,Q75933755,spouse
Q104038327,Q104038328,spouse
Q104038330,Q104038332,spouse
Q61278545,Q61278546,spouse
Q61278561,Q61278562,spouse
Q111466684,Q111466689,spouse
Q98967518,Q98967522,spouse
Q98967524,Q98967525,spouse
Q76273186,Q76273214,spouse
Q76273216,Q99082409,spouse
Q99073294,Q99073349,spouse
Q2350777,Q99071692,spouse
Q105767165,Q105767170,spouse
Q55979202,Q723488,spouse
Q96219123,Q96219134,spouse
Q96219136,Q96219137,spouse
Q96219124,Q96219133,spouse
Q96219138,Q96219144,spouse
Q96219125,Q96219132,spouse
Q96219145,Q96219146,spouse
Q96219126,Q96219127,spouse
Q96219140,Q96219143,spouse
Q96219147,Q96219153,spouse
Q96219128,Q96219131,spouse
Q130728660,Q96337990,spouse
Q96219141,Q96219142,spouse
Q96219149,Q96219150,spouse
Q131300008,Q135286429,spouse
Q96219129,Q96219130,spouse
Q96337991,Q96337993,spouse
Q96198424,Q96198427,spouse
Q96216560,Q96216563,spouse
Q96219151,Q96219152,spouse
Q96219158,Q96219163,spouse
Q692927,Q96201445,spouse
Q96198425,Q96198426,spouse
Q96198428,Q96198429,spouse
Q115656448,Q125223889,spouse
Q96216561,Q96216562,spouse
Q101424361,Q114797163,spouse
Q96219167,Q96219195,spouse
Q115779527,Q115779539,spouse
Q96219159,Q96219162,spouse
Q96201443,Q96201444,spouse
Q96201446,Q96201447,spouse
Q100447816,Q100447825,spouse
Q110503411,Q110503412,spouse
Q98103921,Q98103923,spouse
Q101422788,Q101422798,spouse
Q76329874,Q96219168,spouse
Q96219160,Q96219161,spouse
Q96201448,Q96201449,spouse
Q100447820,Q100447822,spouse
Q96199103,Q96199106,spouse
Q96237591,Q96237595,spouse
Q114341843,Q114797157,spouse
Q6525377,Q75927692,spouse
Q107182929,Q92327581,spouse
Q96322773,Q96322774,spouse
Q96237593,Q96237594,spouse
Q96237597,Q96237599,spouse
Q96480383,Q96480384,spouse
Q16859779,Q75765691,spouse
Q7411088,Q96076727,spouse
Q76329878,Q76329879,spouse
Q15441865,Q4725958,spouse
Q96985260,Q96985262,spouse
Q101423104,Q101423107,spouse
Q75765686,Q75765689,spouse
Q101422852,Q101422853,spouse
Q101422856,Q101422857,spouse
Q75927688,Q8014130,spouse
Q75453579,Q96219188,spouse
Q101423105,Q101423106,spouse
Q96216502,Q96216503,spouse
Q96219171,Q96219175,spouse
Q6240414,Q75927113,spouse
Q96219185,Q96219186,spouse
Q96219189,Q96219193,spouse
Q96219172,Q96219174,spouse
Q76154815,Q76154818,spouse
Q7324124,Q75927065,spouse
Q96219191,Q96219192,spouse
Q104038132,Q104038147,spouse
Q104038164,Q52846541,spouse
Q76165875,Q76165878,spouse
Q75401042,Q75926796,spouse
Q104038224,Q104038234,spouse
Q104038136,Q104038144,spouse
Q104038158,Q16845627,spouse
Q104038166,Q104038170,spouse
Q7529771,Q76165873,spouse
Q76153757,Q8009133,spouse
Q75401041,Q75926799,spouse
Q8007781,Q87653589,spouse
Q104038225,Q104038231,spouse
Q104038141,Q104038143,spouse
Q104038154,Q104038156,spouse
Q104038161,Q104038162,spouse
Q96778118,Q96778119,spouse
Q104038174,Q75792222,spouse
Q75827388,Q76165867,spouse
Q61913340,Q61913341,spouse
Q76353305,Q76353307,spouse
Q75827558,Q96075536,spouse
Q24289596,Q75418812,spouse
Q75926164,Q75926166,spouse
Q98967065,Q98967081,spouse
Q27956858,Q75271437,spouse
Q104038227,Q104038228,spouse
Q96480768,Q96480790,spouse
Q104038460,Q104038496,spouse
Q104038271,Q76154814,spouse
Q104038274,Q104038284,spouse
Q104038325,Q75241165,spouse
Q18681528,Q75769367,spouse
Q100153033,Q100153041,spouse
Q100153043,Q100153052,spouse
Q104038398,Q104038400,spouse
Q104038408,Q104038428,spouse
Q76165864,Q76165866,spouse
Q107279030,Q75827556,spouse
Q75978217,Q76165871,spouse
Q61895870,Q61895872,spouse
Q75771265,Q75771274,spouse
Q107279039,Q76196593,spouse
Q96075542,Q96075543,spouse
Q104038721,Q104038723,spouse
Q75401038,Q75645598,spouse
Q75400614,Q75560944,spouse
Q75926039,Q75926163,spouse
Q6793015,Q98967076,spouse
Q98967083,Q98967088,spouse
Q26221371,Q3806461,spouse
Q28971193,Q75418809,spouse
Q107276944,Q107276950,spouse
Q96480771,Q96480775,spouse
Q104038463,Q104038491,spouse
Q75521030,Q75521043,spouse
Q104038276,Q104038279,spouse
Q6257369,Q75241162,spouse
Q75565179,Q75565180,spouse
Q75769362,Q75769365,spouse
Q75776429,Q75776431,spouse
Q100153035,Q100153040,spouse
Q100153044,Q100153051,spouse
Q76201125,Q76201129,spouse
Q52083630,Q75776879,spouse
Q98103243,Q98103244,spouse
Q104038411,Q104038423,spouse
Q104038429,Q104038438,spouse
Q110103440,Q110103442,spouse
Q110103578,Q323446,spouse
Q101231732,Q7341964,spouse
Q76183944,Q76183946,spouse
Q105805206,Q105805208,spouse
Q75771262,Q75771264,spouse
Q109852963,Q5722188,spouse
Q75574313,Q75574315,spouse
Q75241198,Q75241199,spouse
Q105872022,Q105872025,spouse
Q75509012,Q7787966,spouse
Q104038730,Q5553473,spouse
Q28064904,Q75645599,spouse
Q16863395,Q75860163,spouse
Q26709200,Q53650143,spouse
Q28321690,Q96075442,spouse
Q75926033,Q75926035,spouse
Q5560881,Q98967073,spouse
Q18730241,Q75266880,spouse
Q98967092,Q98967094,spouse
Q75271575,Q75271576,spouse
Q5362776,Q711992,spouse
Q98967126,Q98967129,spouse
Q107276946,Q107276949,spouse
Q107276954,Q107276960,spouse
Q96480778,Q96480787,spouse
Q104038466,Q104038489,spouse
Q75908776,Q7965192,spouse
Q104038267,Q29025403,spouse
Q104038280,Q104038282,spouse
Q6257374,Q75241278,spouse
Q75541545,Q99186887,spouse
Q75718875,Q75718877,spouse
Q75565181,Q99859139,spouse
Q75769355,Q75769360,spouse
Q26265546,Q99800240,spouse
Q99800348,Q99800370,spouse
Q75775677,Q99800408,spouse
Q100153045,Q100153048,spouse
Q76201108,Q76201112,spouse
Q100153064,Q15713261,spouse
Q103948038,Q103948067,spouse
Q103948114,Q75776882,spouse
Q104038402,Q104038405,spouse
Q104038416,Q27990227,spouse
Q75268794,Q75268801,spouse
Q104038432,Q104038437,spouse
Q18528815,Q75558616,spouse
Q105770210,Q105770214,spouse
Q75431779,Q75446880,spouse
Q75400598,Q76345422,spouse
Q105872843,Q7791577,spouse
Q75351169,Q75586457,spouse
Q7288314,Q75382827,spouse
Q109852954,Q5722186,spouse
Q109852964,Q109852970,spouse
Q116054296,Q75574316,spouse
Q104472077,Q104472085,spouse
Q110426943,Q110426946,spouse
Q110315924,Q110315926,spouse
Q7789607,Q96075552,spouse
Q104038726,Q104038728,spouse
Q104038732,Q104038734,spouse
Q75401034,Q75401035,spouse
Q18875291,Q75860166,spouse
Q99154221,Q99154226,spouse
Q26710506,Q75561216,spouse
Q101522612,Q53649941,spouse
Q101522619,Q28321610,spouse
Q101522622,Q101522624,spouse
Q75926028,Q75926032,spouse
Q6793454,Q99084425,spouse
Q18917711,Q75875908,spouse
Q4725858,Q982472,spouse
Q52437919,Q99154226,spouse
Q75560718,Q7794997,spouse
Q5363805,Q6793556,spouse
Q105801355,Q75271577,spouse
Q17138715,Q6265603,spouse
Q348932,Q5363791,spouse
Q105801357,Q105801359,spouse
Q96480781,Q96480784,spouse
Q20900225,Q20900226,spouse
Q256075,Q497827,spouse
Q92597022,Q96311724,spouse
Q96311727,Q96311744,spouse
Q96311728,Q96311729,spouse
Q96311731,Q96311733,spouse
Q96311736,Q96311737,spouse
Q96311738,Q96311742,spouse
Q96311650,Q96311664,spouse
Q96311651,Q96311662,spouse
Q96243952,Q96243957,spouse
Q18672619,Q96243956,spouse
Q76331283,Q76331285,spouse
Q96311655,Q96311657,spouse
Q7329644,Q96311658,spouse
Q99803652,Q99804021,spouse
Q23822714,Q99804933,spouse
Q76283072,Q96244032,spouse
Q75793830,Q75794116,spouse
Q99804028,Q99804294,spouse
Q99804915,Q99804924,spouse
Q96243991,Q96244030,spouse
Q96244034,Q96244059,spouse
Q99803683,Q99803789,spouse
Q99803952,Q99804016,spouse
Q99804047,Q99804153,spouse
Q99804305,Q99804421,spouse
Q96243995,Q96244012,spouse
Q105803191,Q105803199,spouse
Q96244036,Q96244056,spouse
Q105803210,Q105803230,spouse
Q99803700,Q99803765,spouse
Q75248236,Q99803886,spouse
Q99803961,Q99804009,spouse
Q99804061,Q99804119,spouse
Q99804161,Q99804253,spouse
Q99804318,Q99804378,spouse
Q75574005,Q75811436,spouse
Q96243998,Q96244010,spouse
Q96244015,Q96244019,spouse
Q105803193,Q105803196,spouse
Q105803203,Q76048581,spouse
Q96244038,Q96244053,spouse
Q99070332,Q99070397,spouse
Q75961234,Q75961236,spouse
Q99066717,Q99066727,spouse
Q99803713,Q99803748,spouse
Q99156499,Q99156535,spouse
Q75248230,Q75248232,spouse
Q75241186,Q8009090,spouse
Q99803980,Q99804002,spouse
Q7328093,Q99804104,spouse
Q75972847,Q99803763,spouse
Q99804176,Q99804221,spouse
Q99804258,Q99804269,spouse
Q99804330,Q99804362,spouse
Q99804383,Q99804390,spouse
Q75241182,Q75241183,spouse
Q5721272,Q75933581,spouse
Q96244000,Q96244002,spouse
Q110290321,Q110290324,spouse
Q96244022,Q96244029,spouse
Q105803194,Q105803195,spouse
Q105803198,Q110290456,spouse
Q105803201,Q105803202,spouse
Q105803204,Q105803205,spouse
Q96244040,Q96244050,spouse
Q99070243,Q99070269,spouse
